city,year,weekofyear,total_cases
sj,2008,18,31
sj,2008,19,31
sj,2008,20,31
sj,2008,21,31
sj,2008,22,31
sj,2008,23,31
sj,2008,24,31
sj,2008,25,31
sj,2008,26,31
sj,2008,27,31
sj,2008,28,31
sj,2008,29,31
sj,2008,30,31
sj,2008,31,31
sj,2008,32,31
sj,2008,33,31
sj,2008,34,31
sj,2008,35,31
sj,2008,36,31
sj,2008,37,31
sj,2008,38,31
sj,2008,39,31
sj,2008,40,31
sj,2008,41,31
sj,2008,42,31
sj,2008,43,31
sj,2008,44,31
sj,2008,45,31
sj,2008,46,31
sj,2008,47,31
sj,2008,48,31
sj,2008,49,31
sj,2008,50,31
sj,2008,51,31
sj,2008,52,31
sj,2009,1,31
sj,2009,2,31
sj,2009,3,31
sj,2009,4,31
sj,2009,5,31
sj,2009,6,31
sj,2009,7,31
sj,2009,8,31
sj,2009,9,31
sj,2009,10,31
sj,2009,11,31
sj,2009,12,31
sj,2009,13,31
sj,2009,14,31
sj,2009,15,31
sj,2009,16,31
sj,2009,17,31
sj,2009,18,31
sj,2009,19,31
sj,2009,20,31
sj,2009,21,31
sj,2009,22,31
sj,2009,23,31
sj,2009,24,31
sj,2009,25,31
sj,2009,26,31
sj,2009,27,31
sj,2009,28,31
sj,2009,29,31
sj,2009,30,31
sj,2009,31,31
sj,2009,32,31
sj,2009,33,31
sj,2009,34,31
sj,2009,35,31
sj,2009,36,31
sj,2009,37,31
sj,2009,38,31
sj,2009,39,31
sj,2009,40,31
sj,2009,41,31
sj,2009,42,31
sj,2009,43,31
sj,2009,44,31
sj,2009,45,31
sj,2009,46,31
sj,2009,47,31
sj,2009,48,31
sj,2009,49,31
sj,2009,50,31
sj,2009,51,31
sj,2009,52,31
sj,2010,53,31
sj,2010,1,31
sj,2010,2,31
sj,2010,3,31
sj,2010,4,31
sj,2010,5,31
sj,2010,6,31
sj,2010,7,31
sj,2010,8,31
sj,2010,9,31
sj,2010,10,31
sj,2010,11,31
sj,2010,12,31
sj,2010,13,31
sj,2010,14,31
sj,2010,15,31
sj,2010,16,31
sj,2010,17,31
sj,2010,18,31
sj,2010,19,31
sj,2010,20,31
sj,2010,21,31
sj,2010,22,31
sj,2010,23,31
sj,2010,24,31
sj,2010,25,31
sj,2010,26,31
sj,2010,27,31
sj,2010,28,31
sj,2010,29,31
sj,2010,30,31
sj,2010,31,31
sj,2010,32,31
sj,2010,33,31
sj,2010,34,31
sj,2010,35,31
sj,2010,36,31
sj,2010,37,31
sj,2010,38,31
sj,2010,39,31
sj,2010,40,31
sj,2010,41,31
sj,2010,42,31
sj,2010,43,31
sj,2010,44,31
sj,2010,45,31
sj,2010,46,31
sj,2010,47,31
sj,2010,48,31
sj,2010,49,31
sj,2010,50,31
sj,2010,51,31
sj,2011,52,31
sj,2011,1,31
sj,2011,2,31
sj,2011,3,31
sj,2011,4,31
sj,2011,5,31
sj,2011,6,31
sj,2011,7,31
sj,2011,8,31
sj,2011,9,31
sj,2011,10,31
sj,2011,11,31
sj,2011,12,31
sj,2011,13,31
sj,2011,14,31
sj,2011,15,31
sj,2011,16,31
sj,2011,17,31
sj,2011,18,31
sj,2011,19,31
sj,2011,20,31
sj,2011,21,31
sj,2011,22,31
sj,2011,23,31
sj,2011,24,31
sj,2011,25,31
sj,2011,26,31
sj,2011,27,31
sj,2011,28,31
sj,2011,29,31
sj,2011,30,31
sj,2011,31,31
sj,2011,32,31
sj,2011,33,31
sj,2011,34,31
sj,2011,35,31
sj,2011,36,31
sj,2011,37,31
sj,2011,38,31
sj,2011,39,31
sj,2011,40,31
sj,2011,41,31
sj,2011,42,31
sj,2011,43,31
sj,2011,44,31
sj,2011,45,31
sj,2011,46,31
sj,2011,47,31
sj,2011,48,31
sj,2011,49,31
sj,2011,50,31
sj,2011,51,31
sj,2012,52,31
sj,2012,1,31
sj,2012,2,31
sj,2012,3,31
sj,2012,4,31
sj,2012,5,31
sj,2012,6,31
sj,2012,7,31
sj,2012,8,31
sj,2012,9,31
sj,2012,10,31
sj,2012,11,31
sj,2012,12,31
sj,2012,13,31
sj,2012,14,31
sj,2012,15,31
sj,2012,16,31
sj,2012,17,31
sj,2012,18,31
sj,2012,19,31
sj,2012,20,31
sj,2012,21,31
sj,2012,22,31
sj,2012,23,31
sj,2012,24,31
sj,2012,25,31
sj,2012,26,31
sj,2012,27,31
sj,2012,28,31
sj,2012,29,31
sj,2012,30,31
sj,2012,31,31
sj,2012,32,31
sj,2012,33,31
sj,2012,34,31
sj,2012,35,31
sj,2012,36,31
sj,2012,37,31
sj,2012,38,31
sj,2012,39,31
sj,2012,40,31
sj,2012,41,31
sj,2012,42,31
sj,2012,43,31
sj,2012,44,31
sj,2012,45,31
sj,2012,46,31
sj,2012,47,31
sj,2012,48,31
sj,2012,49,31
sj,2012,50,31
sj,2012,51,31
sj,2013,1,31
sj,2013,2,31
sj,2013,3,31
sj,2013,4,31
sj,2013,5,31
sj,2013,6,31
sj,2013,7,31
sj,2013,8,31
sj,2013,9,31
sj,2013,10,31
sj,2013,11,31
sj,2013,12,31
sj,2013,13,31
sj,2013,14,31
sj,2013,15,31
sj,2013,16,31
sj,2013,17,31
iq,2010,26,8
iq,2010,27,8
iq,2010,28,8
iq,2010,29,8
iq,2010,30,8
iq,2010,31,8
iq,2010,32,8
iq,2010,33,8
iq,2010,34,8
iq,2010,35,8
iq,2010,36,8
iq,2010,37,8
iq,2010,38,8
iq,2010,39,8
iq,2010,40,8
iq,2010,41,8
iq,2010,42,8
iq,2010,43,8
iq,2010,44,8
iq,2010,45,8
iq,2010,46,8
iq,2010,47,8
iq,2010,48,8
iq,2010,49,8
iq,2010,50,8
iq,2010,51,8
iq,2011,52,8
iq,2011,1,8
iq,2011,2,8
iq,2011,3,8
iq,2011,4,8
iq,2011,5,8
iq,2011,6,8
iq,2011,7,8
iq,2011,8,8
iq,2011,9,8
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,8
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,8
iq,2011,18,8
iq,2011,19,8
iq,2011,20,8
iq,2011,21,8
iq,2011,22,8
iq,2011,23,8
iq,2011,24,8
iq,2011,25,8
iq,2011,26,8
iq,2011,27,8
iq,2011,28,8
iq,2011,29,8
iq,2011,30,8
iq,2011,31,8
iq,2011,32,8
iq,2011,33,8
iq,2011,34,8
iq,2011,35,8
iq,2011,36,8
iq,2011,37,8
iq,2011,38,8
iq,2011,39,8
iq,2011,40,8
iq,2011,41,8
iq,2011,42,8
iq,2011,43,8
iq,2011,44,8
iq,2011,45,8
iq,2011,46,8
iq,2011,47,8
iq,2011,48,8
iq,2011,49,8
iq,2011,50,8
iq,2011,51,8
iq,2012,52,8
iq,2012,1,8
iq,2012,2,8
iq,2012,3,8
iq,2012,4,8
iq,2012,5,8
iq,2012,6,8
iq,2012,7,8
iq,2012,8,8
iq,2012,9,8
iq,2012,10,8
iq,2012,11,8
iq,2012,12,8
iq,2012,13,8
iq,2012,14,8
iq,2012,15,8
iq,2012,16,8
iq,2012,17,8
iq,2012,18,8
iq,2012,19,8
iq,2012,20,8
iq,2012,21,8
iq,2012,22,8
iq,2012,23,8
iq,2012,24,8
iq,2012,25,8
iq,2012,26,8
iq,2012,27,8
iq,2012,28,8
iq,2012,29,8
iq,2012,30,8
iq,2012,31,8
iq,2012,32,8
iq,2012,33,8
iq,2012,34,8
iq,2012,35,8
iq,2012,36,8
iq,2012,37,8
iq,2012,38,8
iq,2012,39,8
iq,2012,40,8
iq,2012,41,8
iq,2012,42,8
iq,2012,43,8
iq,2012,44,8
iq,2012,45,8
iq,2012,46,8
iq,2012,47,8
iq,2012,48,8
iq,2012,49,8
iq,2012,50,8
iq,2012,51,8
iq,2013,1,8
iq,2013,2,8
iq,2013,3,8
iq,2013,4,8
iq,2013,5,8
iq,2013,6,8
iq,2013,7,8
iq,2013,8,8
iq,2013,9,8
iq,2013,10,8
iq,2013,11,8
iq,2013,12,8
iq,2013,13,8
iq,2013,14,8
iq,2013,15,8
iq,2013,16,8
iq,2013,17,8
iq,2013,18,8
iq,2013,19,8
iq,2013,20,8
iq,2013,21,8
iq,2013,22,8
iq,2013,23,8
iq,2013,24,8
iq,2013,25,8
iq,2013,26,8
